연번,년도,구분,시도,시군구,설립주체,운영방식,개관년도,도서관명,주소,상세주소,전화번호,팩스,홈페이지,봉사대상지역,대출권수_어린이_총류,대출권수_어린이_철학,대출권수_어린이_종교,대출권수_어린이_사회과학,대출권수_어린이_순수과학,대출권수_어린이_기술과학,대출권수_어린이_예술,대출권수_어린이_언어,대출권수_어린이_문학,대출권수_어린이_역사,대출권수_청소년_총류,대출권수_청소년_철학,대출권수_청소년_종교,대출권수_청소년_사회과학,대출권수_청소년_순수과학,대출권수_청소년_기술과학,대출권수_청소년_예술,대출권수_청소년_언어,대출권수_청소년_문학,대출권수_청소년_역사,대출권수_성인_총류,대출권수_성인_철학,대출권수_성인_종교,대출권수_성인_사회과학,대출권수_성인_순수과학,대출권수_성인_기술과학,대출권수_성인_예술,대출권수_성인_언어,대출권수_성인_문학,대출권수_성인_역사,도서_국내_총류,도서_국내_철학,도서_국내_종교,도서_국내_사회과학,도서_국내_순수과학,도서_국내_기술과학,도서_국내_예술,도서_국내_언어,도서_국내_문학,도서_국내_역사,시설_도서관부지면적,시설_연면적,개관일수,행정구역코드,법정구역코드,AGE,총_국내도서권수,총_대출권수
54,2015,공공(일반),경기도,가평군,지자체,직영,2012,가평군립청평도서관,경기도 가평군 청평면 은고개로,31,031-580-4331,031-580-4339,http://www.gaplib.or.kr,가평,285,376,379,1427,2627,805,244,921,5148,974,64.0,154.0,11.0,298.0,283.0,266.0,103.0,254.0,1909.0,188.0,1637.0,2515.0,1095.0,5449.0,3788.0,3510.0,1694.0,2585.0,18821.0,3585,2477,2502,1182,8030,4585,3660,3044,1986,19341,4351,4503.0,2485.23,357,31370,41820,4,51158,61395.0
55,2015,공공(일반),경기도,가평군,지자체,직영,2006,가평군조종도서관,경기도 가평군 조종희망로26번길,22 (가평조종도서관),031-580-4301-5,031-580-2329,www.gaplib.or.kr,"가평군 상면,조종면",133,119,66,862,909,236,333,432,1826,478,111.0,133.0,13.0,311.0,345.0,148.0,126.0,213.0,955.0,110.0,865.0,1542.0,401.0,3766.0,2514.0,2002.0,1908.0,2212.0,17143.0,1901,3739,3518,1962,11869,6480,5249,3650,3208,26181,5773,2692.0,1485.0,357,31370,41820,10,71629,42113.0
56,2015,공공(일반),경기도,가평군,지자체,직영,1985,가평군중앙도서관,경기도 가평군 가화로,64 (가평군립도서관),031-580-4040,031-580-2589,www.gplib.or.kr,가평군,126,286,146,747,1130,198,303,567,3220,778,54.0,110.0,11.0,309.0,200.0,163.0,61.0,118.0,1903.0,180.0,1195.0,2326.0,1178.0,5508.0,3354.0,3135.0,1862.0,2045.0,31823.0,3318,6654,6027,3806,19760,9376,9450,6915,6800,59129,11856,2753.0,836.0,357,31370,41820,31,139773,66354.0
57,2015,공공(일반),경기도,가평군,지자체,직영,2009,설악도서관,경기도 가평군 자잠로,65 (가평설악도서관),031-580-4311~3,031-580-2289,http://gaplib.or.kr,가평군,385,206,204,1022,1901,305,189,363,3655,666,49.0,80.0,33.0,284.0,151.0,299.0,98.0,84.0,1141.0,194.0,757.0,1205.0,578.0,3078.0,1779.0,1398.0,813.0,821.0,10106.0,1705,2768,3296,1906,8594,4782,3508,2636,2604,24442,5843,3693.0,1470.0,357,31370,41820,7,60379,33549.0
58,2015,공공(일반),경기도,고양시,지자체,직영,2014,고양시립 신원도서관,경기도 고양시 덕양구 신원2로,24 (신원동),031-8075-9340,02-371-1380,www.goyanglib.or.kr,고양시,1157,731,963,4293,6575,664,519,1480,17101,5063,357.0,240.0,92.0,746.0,1082.0,427.0,255.0,310.0,4125.0,1014.0,3008.0,3222.0,1834.0,12293.0,7014.0,5319.0,2095.0,2901.0,33004.0,8752,2236,1286,736,5019,3054,1776,1370,962,13125,3217,2628.0,3983.0,326,31100,41280,2,32781,126636.0
59,2015,공공(일반),경기도,고양시,지자체,직영,2014,고양시립삼송도서관,경기도 고양시 덕양구 덕수천1로,73,031-8075-9360,02-381-4590,www.goyanglib.or.kr,고양시,2682,695,63,3327,4549,684,542,1026,23727,3785,469.0,210.0,26.0,667.0,766.0,274.0,145.0,230.0,4032.0,1041.0,4406.0,3953.0,1174.0,14449.0,4827.0,7292.0,2601.0,3215.0,44252.0,9001,1281,977,332,3301,1392,1446,773,531,9493,1828,2267.0,3836.0,324,31100,41280,2,21354,144110.0
60,2015,공공(일반),경기도,고양시,지자체,직영,2002,고양시립원당도서관,경기도 고양시 덕양구 호국로790번길,49 9 (시립원당도서관),031-8075-9251,031-965-9709,www.goyanglib.or.kr,고양시,1049,587,540,3216,5166,694,603,2324,13273,2609,327.0,372.0,122.0,1180.0,1825.0,640.0,309.0,631.0,5973.0,1153.0,3626.0,4916.0,2228.0,13863.0,7140.0,8216.0,3067.0,4932.0,44769.0,9048,5163,5853,3394,20200,8717,8401,5414,3763,43712,10349,4310.0,1553.0,324,31100,41280,14,114966,144398.0
61,2015,공공(일반),경기도,고양시,지자체,직영,1994,고양시립행신도서관,경기도 고양시 덕양구 행당로33번길,25 6 (고양시립행신도서관),031-8075-9239,031-938-4673,www.goyanglib.or.kr,고양시,600,389,396,3985,5266,689,459,3509,14894,2947,383.0,544.0,149.0,1871.0,2324.0,817.0,591.0,1168.0,7748.0,1667.0,3773.0,6262.0,2763.0,19124.0,7299.0,8658.0,4452.0,9451.0,54612.0,10670,6705,6520,4272,26640,10187,11147,7341,6431,54880,11975,3132.0,2384.0,324,31100,41280,22,146098,177460.0
63,2015,공공(일반),경기도,고양시,지자체,직영,2003,고양시립화정도서관,경기도 고양시 덕양구 은빛로77번길,8 (고양시립화정도서관),031-8075-9206,031-965-5093,http://www.goyanglib.or.kr/,고양시,885,791,719,4903,6995,966,622,3486,20575,4794,830.0,1104.0,218.0,2965.0,3279.0,1374.0,925.0,1148.0,12988.0,2667.0,7743.0,11857.0,4441.0,34134.0,12813.0,15003.0,8142.0,10127.0,84385.0,19227,10485,9198,4841,33851,13784,12185,7962,6836,60411,16957,4149.0,4580.0,326,31100,41280,13,176510,280106.0
65,2015,공공(일반),경기도,고양시,지자체,직영,1999,고양시립마두도서관,경기도 고양시 일산동구 일산로,355 (고양시립마두도서관),031-8075-9062,031-901-5894,www.goyanglib.or.kr,고양시,438,342,274,2248,3758,466,454,1026,10036,2161,336.0,789.0,177.0,1650.0,2101.0,689.0,502.0,451.0,9012.0,1549.0,3316.0,6731.0,2877.0,20023.0,7365.0,7621.0,5097.0,4172.0,53280.0,11729,9110,8984,6289,34001,11742,12535,9179,5856,65510,15872,36029.0,3757.0,326,31100,41280,17,179078,160670.0
