시도,시군구,행정구역코드,법정구역코드,년도,EQ5D,학사_비율,소득액,실업급여지급자수(년),실업급여지급건수(년),실업급여지급액(년),인구수,경제활동가능인구,인구_실업급여자_비율,경제활동가능인구_실업급여자_비율,계_전체인구,0-4세_전체인구,5-9세_전체인구,10-14세_전체인구,15-19세_전체인구,20-24세_전체인구,25-29세_전체인구,30-34세_전체인구,35-39세_전체인구,40-44세_전체인구,45-49세_전체인구,50-54세_전체인구,55-59세_전체인구,60-64세_전체인구,65-69세_전체인구,70-74세_전체인구,75-79세_전체인구,80-84세_전체인구,85-89세_전체인구,90-94세_전체인구,95-99세_전체인구,100세이상_전체인구,계_여성인구,0-4세_여성인구,5-9세_여성인구,10-14세_여성인구,15-19세_여성인구,20-24세_여성인구,25-29세_여성인구,30-34세_여성인구,35-39세_여성인구,40-44세_여성인구,45-49세_여성인구,50-54세_여성인구,55-59세_여성인구,60-64세_여성인구,65-69세_여성인구,70-74세_여성인구,75-79세_여성인구,80-84세_여성인구,85-89세_여성인구,90-94세_여성인구,95-99세_여성인구,100세이상_여성인구,면적,지하철_노선_개수,지하철_역_개수,도로_노드_개수,도로_링크_개수,버스_노선_개수,버스_정류장_개수,대중교통_노선_개수,대중교통_정류장_역_개수,대중교통_노선_면적,대중교통_역_노선_면적,도로_노드_면적,도로_링크_면적
서울,종로구,11010,11110,2015,0.95,0.3883127780504409,2755607,3443,13435,11931891080,161521,112432.0,0.02131611369419456,0.03062295431905507,150750.5,4397.5,4881.5,6233.5,8752.5,11339.5,11769.0,11418.5,10250.0,12850.5,12943.0,12830.5,11713.5,8565.0,7174.5,6511.5,4647.0,2593.5,1264.5,481.5,115.0,18.5,76326.0,2143.5,2328.0,2968.0,4225.5,5648.5,5715.5,5641.5,5207.5,6559.0,6579.0,6337.0,5802.5,4339.0,3809.5,3540.0,2599.0,1599.5,845.0,339.0,85.0,14.5,23912894,5.0,14.0,346,979,144,396,149.0,410.0,6.230948039998839e-06,1.7145561720802176e-05,1.4469181354628177e-05,4.094025591381788e-05
서울,종로구,11010,11110,2016,0.968,0.3883127780504409,2737610,3304,12419,11836795910,154398,110602.5,0.02139924092280988,0.02987274247869623,148331.5,4302.0,4830.0,5650.0,8293.5,11315.0,11742.0,10843.5,10128.5,11790.5,13128.0,12309.5,11863.5,9188.5,7027.5,6336.5,4833.5,2809.5,1309.5,482.5,127.5,20.5,75242.5,2093.0,2342.5,2710.0,4023.5,5668.0,5664.0,5376.5,5200.5,6016.0,6681.5,6026.0,5905.0,4611.0,3738.5,3460.0,2716.0,1681.0,879.5,340.5,93.5,16.0,23912883,5.0,14.0,346,979,144,396,149.0,410.0,6.230950906254172e-06,1.7145569607813495e-05,1.4469188010496267e-05,4.094027474646198e-05
서울,종로구,11010,11110,2017,0.957,0.3883127780504409,2870292,3214,12277,12480610630,157277,110189.0,0.02043528297208111,0.02916806577789071,148098.5,4181.0,4824.0,5400.5,7764.0,11336.0,12021.5,10491.5,10292.0,10967.5,13360.5,12120.0,12184.0,9652.0,6979.0,6187.5,5251.5,3027.0,1401.0,501.5,132.0,24.5,75293.0,2043.5,2367.0,2617.5,3821.0,5737.0,5747.5,5197.0,5285.5,5671.5,6755.0,5984.5,6012.0,4826.0,3696.0,3400.0,2938.5,1797.0,927.0,351.0,98.0,20.5,23912788,5.0,14.0,346,979,144,396,149.0,410.0,6.2309756603872376e-06,1.7145637723213202e-05,1.4469245493248215e-05,4.094043739274567e-05
서울,종로구,11010,11110,2018,0.952,0.3883127780504409,3007628,3265,12960,14710609140,157967,109943.5,0.02066887387872151,0.02969707167772538,148325.5,3989.0,4792.5,5334.5,7259.5,11233.0,12375.0,10345.5,10546.0,10335.5,13241.5,12230.5,12330.0,10047.0,7102.0,6152.0,5571.5,3234.0,1493.5,546.5,142.0,24.5,75613.0,1966.0,2347.0,2608.0,3607.5,5735.5,5929.5,5137.5,5378.5,5399.0,6704.5,6136.5,6071.0,4994.5,3703.0,3401.5,3088.5,1924.0,972.5,383.5,104.0,21.0,23913318,5.0,14.0,346,979,144,396,149.0,410.0,6.230837560893892e-06,1.7145257717895943e-05,1.4468924805834137e-05,4.093953001419544e-05
서울,중구,11020,11140,2015,0.952,0.3273868324713812,2922120,3034,11835,10491851900,128478,92054.0,0.0236149379660331,0.03295891541921046,122799.5,4437.5,3867.5,3860.0,5554.5,8349.5,9316.5,10845.0,9669.5,10174.5,9839.5,10342.5,10435.0,7527.5,6124.0,5269.0,3661.0,2056.0,1019.5,364.5,78.5,8.0,61636.0,2159.5,1938.0,1890.5,2704.5,4129.5,4567.0,5333.5,4713.5,4832.0,4699.5,5071.5,5180.0,3779.5,3205.5,2890.5,2130.5,1371.5,725.0,256.0,52.0,6.5,9960549,6.0,23.0,272,731,170,241,176.0,264.0,1.7669708768060877e-05,2.6504563152091314e-05,2.730773173245772e-05,7.338952903098011e-05
서울,중구,11020,11140,2016,0.948,0.3273868324713812,3001390,2888,11339,10759749790,128160,90724.5,0.02253433208489388,0.03183263616773859,121151.5,4266.5,3867.0,3491.0,5240.0,8202.0,9326.5,10388.5,9770.0,9542.0,9950.0,9781.0,10504.0,8020.5,6106.0,5123.5,3791.5,2227.0,1087.5,379.0,78.5,9.5,61005.0,2089.0,1938.0,1740.0,2580.5,4064.0,4588.0,5147.0,4754.0,4587.5,4772.0,4814.0,5185.5,4022.5,3158.0,2817.5,2204.5,1450.0,757.5,273.5,53.0,9.0,9960930,6.0,23.0,272,731,170,241,176.0,264.0,1.7669032911585566e-05,2.6503549367378347e-05,2.7306687226995873e-05,7.338672192255141e-05
서울,중구,11020,11140,2017,0.958,0.3273868324713812,3078491,2862,11018,11195545890,127896,90413.0,0.02237755676487146,0.03165473991572008,121058.0,4187.0,3819.5,3364.5,4883.0,8027.5,9703.5,10020.0,10026.5,9069.0,10140.0,9530.0,10521.0,8492.5,6132.0,5019.0,4098.5,2366.5,1152.5,408.0,83.5,14.0,61125.0,2061.0,1909.5,1703.5,2379.5,4034.5,4817.5,4993.0,4884.5,4406.0,4897.0,4690.0,5184.5,4224.5,3137.5,2749.5,2379.5,1515.5,791.5,298.0,56.0,12.5,9959791,6.0,23.0,272,731,170,241,176.0,264.0,1.767105353917567e-05,2.6506580308763506e-05,2.7309810015089673e-05,7.33951144155535e-05
서울,중구,11020,11140,2018,0.956,0.3273868324713812,3120706,2966,11902,13498558240,129797,90437.5,0.02285106743607325,0.03279612992398065,121382.0,4012.0,3732.5,3302.0,4532.0,7855.0,10142.0,9903.5,10333.5,8695.0,9999.5,9592.5,10463.5,8921.0,6220.0,5068.5,4344.0,2498.5,1218.0,440.0,90.0,19.0,61474.5,2004.0,1849.5,1674.5,2185.0,4045.0,5058.5,4954.0,5085.0,4202.5,4870.5,4731.0,5139.0,4419.5,3185.0,2762.0,2486.5,1587.0,838.5,319.5,63.5,14.5,9959837,6.0,23.0,272,731,170,241,176.0,264.0,1.7670971924540532e-05,2.6506457886810797e-05,2.7309683883380822e-05,7.339477543658596e-05
서울,용산구,11030,11170,2015,0.958,0.4252720005717647,2327359,5331,20844,19017042110,227282,167532.0,0.02345544301792487,0.03182078647661343,225431.0,8876.0,8238.5,8810.5,11359.0,14462.0,16598.5,20514.5,18541.0,20277.5,18733.5,17937.0,16907.0,12202.0,10120.5,8903.5,6695.0,3688.5,1785.5,625.0,132.5,23.5,115743.5,4349.0,4149.5,4292.5,5358.0,7411.5,8425.0,10301.0,9437.5,10058.5,9310.0,9076.0,8665.0,6412.0,5501.5,4936.5,3982.0,2275.5,1253.0,442.0,89.5,18.0,21866635,6.0,17.0,307,771,102,344,108.0,361.0,4.939031542804826e-06,1.6509170249560574e-05,1.4039654478158162e-05,3.525919740280112e-05
서울,용산구,11030,11170,2016,0.962,0.4252720005717647,2369072,5224,20362,19837748990,224993,164902.0,0.02321850013111519,0.03167942171714109,221883.0,8527.0,8071.0,8191.5,10893.0,14321.5,16574.5,19209.5,18532.0,18978.0,19128.5,17220.0,16991.0,13054.0,10017.0,8591.5,6856.0,3984.5,1902.0,676.0,140.0,24.5,113965.5,4129.5,4034.0,3998.5,5141.5,7368.5,8398.5,9657.0,9410.5,9504.5,9576.0,8646.0,8677.0,6808.5,5407.5,4769.5,4054.5,2474.0,1310.0,487.0,94.5,18.5,21866544,6.0,17.0,307,771,102,344,108.0,361.0,4.9390520971215205e-06,1.6509238954267303e-05,1.4039712905706545e-05,3.525934413778419e-05
