시도,시군구,년도,행정구역코드,사회적_불평등_지수,법정구역코드,학사_비율,소득액,EQ5D,인구수,0-4세_전체인구,5-9세_전체인구,10-14세_전체인구,15-19세_전체인구,20-24세_전체인구,25-29세_전체인구,30-34세_전체인구,35-39세_전체인구,40-44세_전체인구,45-49세_전체인구,50-54세_전체인구,55-59세_전체인구,60-64세_전체인구,65-69세_전체인구,70-74세_전체인구,75-79세_전체인구,80-84세_전체인구,85-89세_전체인구,90-94세_전체인구,95-99세_전체인구,100세이상_전체인구,계_여성인구,0-4세_여성인구,5-9세_여성인구,10-14세_여성인구,15-19세_여성인구,20-24세_여성인구,25-29세_여성인구,30-34세_여성인구,35-39세_여성인구,40-44세_여성인구,45-49세_여성인구,50-54세_여성인구,55-59세_여성인구,60-64세_여성인구,65-69세_여성인구,70-74세_여성인구,75-79세_여성인구,80-84세_여성인구,85-89세_여성인구,90-94세_여성인구,95-99세_여성인구,100세이상_여성인구,면적,대중교통_노선_개수,대중교통_정류장_역_개수,대중교통_노선_면적,대중교통_역_노선_면적,도로_노드_면적,도로_링크_면적,도서관 수,시설_연면적,개관일수,AGE,도서_국내_총류,도서_국내_철학,도서_국내_종교,도서_국내_사회과학,도서_국내_순수과학,도서_국내_기술과학,도서_국내_예술,도서_국내_언어,도서_국내_문학,도서_국내_역사,대출권수_어린이_총류,대출권수_어린이_철학,대출권수_어린이_종교,대출권수_어린이_사회과학,대출권수_어린이_순수과학,대출권수_어린이_기술과학,대출권수_어린이_예술,대출권수_어린이_언어,대출권수_어린이_문학,대출권수_어린이_역사,대출권수_청소년_총류,대출권수_청소년_철학,대출권수_청소년_종교,대출권수_청소년_사회과학,대출권수_청소년_순수과학,대출권수_청소년_기술과학,대출권수_청소년_예술,대출권수_청소년_언어,대출권수_청소년_문학,대출권수_청소년_역사,대출권수_성인_총류,대출권수_성인_철학,대출권수_성인_종교,대출권수_성인_사회과학,대출권수_성인_순수과학,대출권수_성인_기술과학,대출권수_성인_예술,대출권수_성인_언어,대출권수_성인_문학,대출권수_성인_역사,총_국내도서권수,총_대출권수
서울특별시,종로구,2015,11010,1.60285201206713,11110,0.3883127780504409,2755607,0.95,161521,4397.5,4881.5,6233.5,8752.5,11339.5,11769.0,11418.5,10250.0,12850.5,12943.0,12830.5,11713.5,8565.0,7174.5,6511.5,4647.0,2593.5,1264.5,481.5,115.0,18.5,76326.0,2143.5,2328.0,2968.0,4225.5,5648.5,5715.5,5641.5,5207.5,6559.0,6579.0,6337.0,5802.5,4339.0,3809.5,3540.0,2599.0,1599.5,845.0,339.0,85.0,14.5,23912894,149.0,410.0,6.230948039998839e-06,1.7145561720802176e-05,1.4469181354628177e-05,4.094025591381788e-05,4,4507.1925,310.75,34.75,40096,40562,25786,158650,33649,99136,44337,29782,201815,67127,2921,2231,1061,9013,12721,2864,2558,2741,42467,12702,2854.0,3343.0,1716.0,5961.0,2230.0,3607.0,3321.0,1679.0,11264.0,3674.0,32012.0,45109.0,17391.0,94729.0,20318.0,54756.0,45118.0,23072.0,203578.0,50629,740940,717640.0
서울특별시,종로구,2016,11010,1.630459712728333,11110,0.3883127780504409,2737610,0.968,154398,4302.0,4830.0,5650.0,8293.5,11315.0,11742.0,10843.5,10128.5,11790.5,13128.0,12309.5,11863.5,9188.5,7027.5,6336.5,4833.5,2809.5,1309.5,482.5,127.5,20.5,75242.5,2093.0,2342.5,2710.0,4023.5,5668.0,5664.0,5376.5,5200.5,6016.0,6681.5,6026.0,5905.0,4611.0,3738.5,3460.0,2716.0,1681.0,879.5,340.5,93.5,16.0,23912883,149.0,410.0,6.230950906254172e-06,1.7145569607813495e-05,1.4469188010496269e-05,4.094027474646198e-05,4,4507.1925,311.0,35.75,41493,40370,25779,162515,34861,101370,46104,28375,198909,68547,893,1056,412,3041,2779,1438,2222,976,11573,2742,1587.0,2334.0,809.0,6191.0,2603.0,3220.0,3519.0,1093.0,12845.0,3418.0,20400.0,32838.0,13398.0,79143.0,25622.0,40677.0,50327.0,18838.0,203339.0,46400,748323,595733.0
서울특별시,종로구,2017,11010,1.706962566658316,11110,0.3883127780504409,2870292,0.957,157277,4181.0,4824.0,5400.5,7764.0,11336.0,12021.5,10491.5,10292.0,10967.5,13360.5,12120.0,12184.0,9652.0,6979.0,6187.5,5251.5,3027.0,1401.0,501.5,132.0,24.5,75293.0,2043.5,2367.0,2617.5,3821.0,5737.0,5747.5,5197.0,5285.5,5671.5,6755.0,5984.5,6012.0,4826.0,3696.0,3400.0,2938.5,1797.0,927.0,351.0,98.0,20.5,23912788,149.0,410.0,6.2309756603872376e-06,1.7145637723213202e-05,1.4469245493248215e-05,4.094043739274567e-05,4,4507.9425,309.25,36.75,40902,43168,26823,166207,35862,86546,46176,30431,201313,70397,875,865,501,2778,2401,1292,970,985,9865,2434,1610.0,2107.0,805.0,5460.0,1612.0,2631.0,2334.0,1352.0,12880.0,2947.0,21554.0,27998.0,10790.0,73312.0,23516.0,35504.0,30129.0,18736.0,180930.0,41023,747825,520196.0
서울특별시,종로구,2018,11010,1.322523391607113,11110,0.3883127780504409,3007628,0.952,157967,3989.0,4792.5,5334.5,7259.5,11233.0,12375.0,10345.5,10546.0,10335.5,13241.5,12230.5,12330.0,10047.0,7102.0,6152.0,5571.5,3234.0,1493.5,546.5,142.0,24.5,75613.0,1966.0,2347.0,2608.0,3607.5,5735.5,5929.5,5137.5,5378.5,5399.0,6704.5,6136.5,6071.0,4994.5,3703.0,3401.5,3088.5,1924.0,972.5,383.5,104.0,21.0,23913318,149.0,410.0,6.230837560893892e-06,1.7145257717895943e-05,1.4468924805834136e-05,4.093953001419544e-05,5,3706.568,253.6,30.4,35885,43507,25866,160926,31744,88453,46154,27255,212746,71757,753,848,372,2712,2144,1292,833,768,8775,2128,1543.0,2027.0,836.0,5286.0,1471.0,2454.0,2035.0,1280.0,12446.0,2861.0,20818.0,27187.0,11210.0,71374.0,22571.0,33391.0,26430.0,18174.0,176200.0,40029,744293,500248.0
서울특별시,중구,2015,11020,-0.1620583907449419,11140,0.3273868324713812,2922120,0.952,128478,4437.5,3867.5,3860.0,5554.5,8349.5,9316.5,10845.0,9669.5,10174.5,9839.5,10342.5,10435.0,7527.5,6124.0,5269.0,3661.0,2056.0,1019.5,364.5,78.5,8.0,61636.0,2159.5,1938.0,1890.5,2704.5,4129.5,4567.0,5333.5,4713.5,4832.0,4699.5,5071.5,5180.0,3779.5,3205.5,2890.5,2130.5,1371.5,725.0,256.0,52.0,6.5,9960549,176.0,264.0,1.7669708768060877e-05,2.6504563152091317e-05,2.730773173245772e-05,7.338952903098011e-05,3,4014.116666666667,318.3333333333333,5.666666666666667,14982,17099,8158,123392,13976,52868,19570,10131,80352,27078,1999,2914,1181,9015,4875,4370,3784,5804,37865,6190,913.0,1503.0,479.0,3911.0,1813.0,1905.0,2468.0,2257.0,15848.0,2437.0,16648.0,23128.0,8382.0,57919.0,12051.0,28969.0,45438.0,17865.0,141274.0,36818,367606,500023.0
서울특별시,중구,2016,11020,0.08271963713444669,11140,0.3273868324713812,3001390,0.948,128160,4266.5,3867.0,3491.0,5240.0,8202.0,9326.5,10388.5,9770.0,9542.0,9950.0,9781.0,10504.0,8020.5,6106.0,5123.5,3791.5,2227.0,1087.5,379.0,78.5,9.5,61005.0,2089.0,1938.0,1740.0,2580.5,4064.0,4588.0,5147.0,4754.0,4587.5,4772.0,4814.0,5185.5,4022.5,3158.0,2817.5,2204.5,1450.0,757.5,273.5,53.0,9.0,9960930,176.0,264.0,1.7669032911585566e-05,2.6503549367378347e-05,2.7306687226995877e-05,7.338672192255141e-05,3,4014.116666666667,322.3333333333333,6.666666666666667,18431,20214,9660,139339,16334,59892,29905,11446,94649,31872,948,1008,335,4344,4309,1281,2630,3667,31145,3174,510.0,858.0,93.0,2132.0,1224.0,1112.0,1609.0,469.0,8585.0,1070.0,17073.0,24358.0,8359.0,64553.0,13964.0,32469.0,46137.0,18712.0,159524.0,38259,431742,493911.0
서울특별시,중구,2017,11020,-1.179839514703873,11140,0.3273868324713812,3078491,0.958,127896,4187.0,3819.5,3364.5,4883.0,8027.5,9703.5,10020.0,10026.5,9069.0,10140.0,9530.0,10521.0,8492.5,6132.0,5019.0,4098.5,2366.5,1152.5,408.0,83.5,14.0,61125.0,2061.0,1909.5,1703.5,2379.5,4034.5,4817.5,4993.0,4884.5,4406.0,4897.0,4690.0,5184.5,4224.5,3137.5,2749.5,2379.5,1515.5,791.5,298.0,56.0,12.5,9959791,176.0,264.0,1.767105353917567e-05,2.6506580308763503e-05,2.7309810015089676e-05,7.33951144155535e-05,3,4007.316666666667,342.0,7.666666666666667,19027,21899,10366,146327,17408,64311,24503,12436,103347,33342,569,728,301,3256,3002,1157,1628,1651,19978,2242,498.0,605.0,104.0,1703.0,1353.0,861.0,979.0,435.0,6695.0,931.0,17392.0,23996.0,7366.0,63823.0,11830.0,31305.0,44779.0,15563.0,146734.0,37523,452966,448987.0
서울특별시,중구,2018,11020,-0.5954440410256664,11140,0.3273868324713812,3120706,0.956,129797,4012.0,3732.5,3302.0,4532.0,7855.0,10142.0,9903.5,10333.5,8695.0,9999.5,9592.5,10463.5,8921.0,6220.0,5068.5,4344.0,2498.5,1218.0,440.0,90.0,19.0,61474.5,2004.0,1849.5,1674.5,2185.0,4045.0,5058.5,4954.0,5085.0,4202.5,4870.5,4731.0,5139.0,4419.5,3185.0,2762.0,2486.5,1587.0,838.5,319.5,63.5,14.5,9959837,176.0,264.0,1.7670971924540532e-05,2.65064578868108e-05,2.7309683883380822e-05,7.339477543658596e-05,3,4007.316666666667,342.3333333333333,8.666666666666666,20128,23146,11145,147943,18172,66891,26716,12789,111684,34718,635,709,214,3222,3448,1182,1587,1616,20262,3131,483.0,699.0,101.0,1873.0,1340.0,925.0,1084.0,500.0,6768.0,880.0,19721.0,26256.0,8049.0,72858.0,14479.0,34900.0,43149.0,16808.0,164117.0,40277,473332,491273.0
서울특별시,용산구,2015,11030,-2.209422670773078,11170,0.4252720005717647,2327359,0.958,227282,8876.0,8238.5,8810.5,11359.0,14462.0,16598.5,20514.5,18541.0,20277.5,18733.5,17937.0,16907.0,12202.0,10120.5,8903.5,6695.0,3688.5,1785.5,625.0,132.5,23.5,115743.5,4349.0,4149.5,4292.5,5358.0,7411.5,8425.0,10301.0,9437.5,10058.5,9310.0,9076.0,8665.0,6412.0,5501.5,4936.5,3982.0,2275.5,1253.0,442.0,89.5,18.0,21866635,108.0,361.0,4.939031542804826e-06,1.6509170249560574e-05,1.4039654478158162e-05,3.525919740280112e-05,3,5559.633333333334,305.6666666666667,45.33333333333334,31157,36998,23608,140712,30339,63337,41019,28629,232784,53792,5938,3807,1697,13333,21858,3730,3290,14964,111133,16120,998.0,2749.0,719.0,7129.0,2482.0,1447.0,1660.0,4178.0,19061.0,3061.0,22200.0,35557.0,14125.0,91738.0,15688.0,53608.0,39010.0,29522.0,156433.0,42268,682375,739503.0
서울특별시,용산구,2016,11030,-0.5231021261766213,11170,0.4252720005717647,2369072,0.962,224993,8527.0,8071.0,8191.5,10893.0,14321.5,16574.5,19209.5,18532.0,18978.0,19128.5,17220.0,16991.0,13054.0,10017.0,8591.5,6856.0,3984.5,1902.0,676.0,140.0,24.5,113965.5,4129.5,4034.0,3998.5,5141.5,7368.5,8398.5,9657.0,9410.5,9504.5,9576.0,8646.0,8677.0,6808.5,5407.5,4769.5,4054.5,2474.0,1310.0,487.0,94.5,18.5,21866544,108.0,361.0,4.9390520971215205e-06,1.6509238954267303e-05,1.4039712905706543e-05,3.525934413778419e-05,3,5559.633333333334,308.6666666666667,46.33333333333334,32347,38550,24279,145699,31267,64404,41699,29752,241406,55417,3157,3377,1392,10259,7269,5227,4990,5082,37290,8108,988.0,1382.0,400.0,3655.0,2162.0,1874.0,1776.0,1643.0,11453.0,2424.0,21502.0,28465.0,11288.0,73112.0,26637.0,40552.0,35536.0,23034.0,165350.0,41168,704820,580552.0
